segment_L,accession_L,country,admin1,location,latitude,longitude
LASV_NGA_2016_IRR_023_NGA-Kaduna_Kaduna_Hs_2016-02-23,MK107874,NGA,Kaduna,Kaduna,10.523056,7.440278
AY693639|las806791|Human|Nigeria|1993,AY693639,NGA,Plateau,Jos,9.916667,8.890278
LASV_NGA_2018_IRR_025_NGA-Imo_Orlu_Hs_2018-01-19,MK117889,NGA,Imo,Orlu,5.79449,7.03589
LASV_NGA_2016_IRR_025_NGA-Benue_Oiji_Hs_2016-02-26,MK107866,NGA,Benue,Oiji,7.565864,7.917972
LASV_NGA_2016_IRR_016_NGA-Nassarawa_Kwarra_Hs_2016-02-06,MK107875,NGA,Nassarawa,Kwarra,8.325363,8.450158
ONM-700_NGA-Benue_COORDINATES_Me_2012-10-29,KT992434,NGA,Benue,COORDINATES,7.6333,8.4
ONM-314_NGA-Benue_COORDINATES_Me_2011-10-24,KT992433,NGA,Benue,COORDINATES,7.6333,8.4
ONM-299_NGA-Benue_COORDINATES_Me_2011-10-23,KT992432,NGA,Benue,COORDINATES,7.6333,8.4
LASV_NGA_2016_IRR_008_NGA-Nassarawa_Lafia_Hs_2016-01-20,MK107876,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2016_IRR_032_NGA-Nassarawa_Lafia_Hs_2016-03-13,MK107879,NGA,Nassarawa,Lafia,8.49575,8.52155
AH012598|CSF|Human|NIG|2000-03-28,AH012598,NGA,Plateau,Jos,9.916667,8.890278
LASV_NGA_2015_IRR_014_NGA-Nassarawa_Agyaragu_Hs_2015-12-30,MK107859,NGA,Nassarawa,Agyaragu,8.4,8.55
LASV_NGA_2014_IRR_002_NGA-Nassarawa_Lafia_Hs_2014-01-20,MK107855,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2016_IRR_020_NGA-Nassarawa_Lafia_Hs_2016-02-15,MK107880,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2016_IRR_015_NGA-Nassarawa_Lafia_Hs_2016-02-03,MK107878,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2017_IRR_001_NGA-Nassarawa_NA_Hs_2017-01-24,MK117829,NGA,Nassarawa,NA,8.49575,8.52155
LASV_NGA_2016_IRR_010_NGA-Taraba_Kwesati_Hs_2016-01-22,MK107886,NGA,Taraba,Kwesati,7.213958,10.183256
LASV_NGA_2016_IRR_012_NGA-Bauchi_TafawaBalewa_Hs_2016-01-25,MK107862,NGA,Bauchi,TafawaBalewa,9.755908,9.553992
LASV|NGA|2019|IRR_0070|2019-02-08,LASV|NGA|2019|IRR_0070|2019-02-08,NGA,Benue,Gboko,7.336619,9.002272
LASV_NGA_2016_IRR_014_NGA-Bauchi_Alkaleri_Hs_2016-01-28,MK107863,NGA,Bauchi,Alkaleri,10.26878,10.33279
LASV_NGA_2015_IRR_008_NGA-Bauchi_Alkaleri_Hs_2015-04-10,MK107857,NGA,Bauchi,Alkaleri,10.26878,10.33279
LASV_NGA_2016_IRR_009_NGA-Plateau_Shendam_Hs_2016-01-20,MK107884,NGA,Plateau,Shendam,8.87931,9.53879
LASV_NGA_2016_IRR_003_NGA-Plateau_Kumbul_Hs_2016-01-04,MK107885,NGA,Plateau,Kumbul,9.383,9.133
LASV_NGA_2018_IRR_086_NGA-Bauchi_Wandi_Hs_2018-02-08,MK117924,NGA,Bauchi,Wandi,9.960813,9.502202
LASV_NGA_2013_IRR_014_NGA-Bauchi_Bauchi_Hs_2013-11-23,MK107844,NGA,Bauchi,Bauchi,10.314159,9.846282
LASV_NGA_2013_IRR_016_NGA-Bauchi_Bauchi_Hs_2013-12-08,MK107845,NGA,Bauchi,Bauchi,10.314159,9.846282
LASV_NGA_2015_IRR_009_NGA-Bauchi_Mbal_Hs_2015-04-25,MK107856,NGA,Bauchi,Mbal,9.595820427,9.617159843
LASV_NGA_2018_IRR_001_NGA-Bauchi_LimanKatagum_Hs_2018-01-02,MK117869,NGA,Bauchi,LimanKatagum,10.093735,9.767931
LASV_NGA_2016_IRR_028_NGA-Bauchi_SabonGari_Hs_2016-02-29,MK107865,NGA,Bauchi,SabonGari,10.675453,9.122348
LASV_NGA_2016_IRR_019_NGA-Bauchi_LimanKatagum_Hs_2016-01-12,MK107864,NGA,Bauchi,LimanKatagum,10.093735,9.767931
