segment_S,accession_S,country,admin1,location,latitude,longitude
LASV_NGA_2015_IRR_005_NGA-Kaduna_Zaria_Hs_2015-01-28,MK107981,NGA,Kaduna,Zaria,11.08477,7.68839
GA391_NGA-Kaduna_Zaria_Hs_1977-11,GA391_NGA-Kaduna_Zaria_Hs_1977-11,NGA,Kaduna,Zaria,11.08477,7.68839
AF182232|las803208|Human|Nigeria|1975,AF182232,NGA,Kaduna,Zonkwa,9.783333,8.283333
GU481064|Nig08-02|Human|Nigeria|2008-01-02,GU481064,NGA,Federal Capital Territory,Abuja,9.050211,7.396413
AF182230|las803212|Human|Nigeria|1976,AF182230,NGA,Plateau,Vom,9.737692,8.808975
LASV_NGA_2016_IRR_023_NGA-Kaduna_Kaduna_Hs_2016-02-23,MK107929,NGA,Kaduna,Kaduna,10.523056,7.440278
LASV_NGA_2015_IRR_002_NGA-Bauchi_Bauchi_Hs_2015-01-08,MK107978,NGA,Bauchi,Bauchi,10.314159,9.846282
LASV_NGA_2013_IRR_013_NGA-Plateau_Jos_Hs_2013-02-27,MK107975,NGA,Plateau,Jos,9.916667,8.890278
AF182229|las803210|Human|Nigeria|1975,AF182229,NGA,Plateau,Vom,9.737692,8.808975
MH053478|ISTH_0187|Human|Nigeria|2016-01-17,MH053478,NGA,Plateau,,NA,NA
LASV_NGA_2013_IRR_002_NGA-Benue_Makurdi_Hs_2013-01-17,MK107965,NGA,Benue,Makurdi,7.732152,8.539144
LASV_NGA_2015_IRR_003_NGA-Plateau_Vom_Hs_2015-01-12,MK107982,NGA,Plateau,Vom,9.737692,8.808975
AF182228|las806791|Human|Nigeria|1993,AF182228,NGA,Plateau,Jos,9.916667,8.890278
AF182227|las803787|Human|Nigeria|1981,AF182227,NGA,,,NA,NA
AY628206|Weller|?|NIG|1981,AY628206,NGA,,,NA,NA
LASV_NGA_2016_IRR_010_NGA-Taraba_Kwesati_Hs_2016-01-22,MK107941,NGA,Taraba,Kwesati,7.213958,10.183256
LASV_NGA_2018_IRR_025_NGA-Imo_Orlu_Hs_2018-01-19,MK117971,NGA,Imo,Orlu,5.79449,7.03589
LASV_NGA_2016_IRR_025_NGA-Benue_Oiji_Hs_2016-02-26,MK107921,NGA,Benue,Oiji,7.565864,7.917972
LASV_NGA_2016_IRR_016_NGA-Nassarawa_Kwarra_Hs_2016-02-06,MK107930,NGA,Nassarawa,Kwarra,8.325363,8.450158
ONM-700_NGA-Benue_COORDINATES_Me_2012-10-29,KT992424,NGA,Benue,COORDINATES,7.6333,8.4
ONM-314_NGA-Benue_COORDINATES_Me_2011-10-24,KT992423,NGA,Benue,COORDINATES,7.6333,8.4
ONM-299_NGA-Benue_COORDINATES_Me_2011-10-23,KT992422,NGA,Benue,COORDINATES,7.6333,8.4
LASV_NGA_2013_IRR_003_NGA-Nassarawa_Lafia_Hs_2013-01-18,MK107968,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2012_IRR_008_NGA-FederalCapitalTerritory_NA_Hs_2012-03-08,MK107971,NGA,Federal Capital Territory,NA,NA,NA
LASV_NGA_2015_IRR_015_NGA-Nassarawa_Lafia_Hs_2015-12-30,MK107949,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2016_IRR_015_NGA-Nassarawa_Lafia_Hs_2016-02-03,MK107933,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2017_IRR_001_NGA-Nassarawa_NA_Hs_2017-01-24,MK117849,NGA,Nassarawa,NA,8.49575,8.52155
MH053472|ISTH_1604|Human|Nigeria|2016-11-05,MH053472,NGA,Nasarawa,,NA,NA
LASV_NGA_2016_IRR_020_NGA-Nassarawa_Lafia_Hs_2016-02-15,MK107935,NGA,Nassarawa,Lafia,8.49575,8.52155
AF333969|CSF|Human|NIG|2000-03-28,AF333969,NGA,Plateau,Jos,9.916667,8.890278
LASV_NGA_2014_IRR_002_NGA-Nassarawa_Lafia_Hs_2014-01-20,MK107910,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2015_IRR_014_NGA-Nassarawa_Agyaragu_Hs_2015-12-30,MK107914,NGA,Nassarawa,Agyaragu,8.4,8.55
AF182272|las9608911|Human|Nigeria|1996,AF182272,NGA,Plateau,Jos,9.916667,8.890278
LASV_NGA_2012_IRR_007_NGA-Nassarawa_Lafia_Hs_2012-02-27,MK107973,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2016_IRR_032_NGA-Nassarawa_Lafia_Hs_2016-03-13,MK107934,NGA,Nassarawa,Lafia,8.49575,8.52155
LASV_NGA_2016_IRR_008_NGA-Nassarawa_Lafia_Hs_2016-01-20,MK107931,NGA,Nassarawa,Lafia,8.49575,8.52155
MH053480|ISTH_0789|Human|Nigeria|2015-12-15,MH053480,NGA,Bauchi,,NA,NA
LASV_NGA_2016_IRR_012_NGA-Bauchi_TafawaBalewa_Hs_2016-01-25,MK107917,NGA,Bauchi,TafawaBalewa,9.755908,9.553992
KM821980|ISTH2121_NIG_2012|Human|Nigeria|2012,KM821980,NGA,,,NA,NA
LASV|NGA|2019|IRR_0070|2019-02-08,LASV|NGA|2019|IRR_0070|2019-02-08,NGA,Benue,Gboko,7.336619,9.002272
LASV_NGA_2015_IRR_008_NGA-Bauchi_Alkaleri_Hs_2015-04-10,MK107912,NGA,Bauchi,Alkaleri,10.26878,10.33279
LASV_NGA_2016_IRR_014_NGA-Bauchi_Alkaleri_Hs_2016-01-28,MK107918,NGA,Bauchi,Alkaleri,10.26878,10.33279
LASV_NGA_2016_IRR_009_NGA-Plateau_Shendam_Hs_2016-01-20,MK107939,NGA,Plateau,Shendam,8.87931,9.53879
LASV_NGA_2016_IRR_003_NGA-Plateau_Kumbul_Hs_2016-01-04,MK107940,NGA,Plateau,Kumbul,9.383,9.133
PB1_NGA-Plateau_Jos_Hs_1982-01,AJ969405,NGA,Plateau,Jos,9.916667,8.890278
MH053482|ISTH_1541|Human|Nigeria|2016-10-13,MH053482,NGA,Bauchi,,NA,NA
LASV_NGA_2016_IRR_005_NGA-Bauchi_Bundot_Hs_2016-01-08,MK107953,NGA,Bauchi,Bundot,10.006978,9.544584
LASV_NGA_2013_IRR_014_NGA-Bauchi_Bauchi_Hs_2013-11-23,MK107899,NGA,Bauchi,Bauchi,10.314159,9.846282
MH053589|ISTH_1609|Human|Nigeria|2016-11-01,MH053589,NGA,Bauchi,,NA,NA
LASV_NGA_2015_IRR_004_NGA-Bauchi_Bauchi_Hs_2015-01-18,MK107979,NGA,Bauchi,Bauchi,10.314159,9.846282
LASV_NGA_2018_IRR_054_NGA-Bauchi_Kufai_Hs_2018-02-04,MK117989,NGA,Bauchi,Kufai,9.983,9.233
LASV_NGA_2018_IRR_136_NGA-Bauchi_Lukshi_Hs_2018-03-05,MK118034,NGA,Bauchi,Lukshi,10.03284,9.386606
MH053468|ISTH_1546|Human|Nigeria|2016-10-16,MH053468,NGA,Bauchi,,NA,NA
LASV_NGA_2013_IRR_015_NGA-Bauchi_Bauchi_Hs_2013-12-04,MK107945,NGA,Bauchi,Bauchi,10.314159,9.846282
LASV_NGA_2015_IRR_013_NGA-Bauchi_Dass_Hs_2015-12-17,MK107980,NGA,Bauchi,Dass,9.99934,9.51518
LASV_NGA_2018_IRR_086_NGA-Bauchi_Wandi_Hs_2018-02-08,MK118011,NGA,Bauchi,Wandi,9.960813,9.502202
LASV_NGA_2013_IRR_016_NGA-Bauchi_Bauchi_Hs_2013-12-08,MK107900,NGA,Bauchi,Bauchi,10.314159,9.846282
LASV_NGA_2015_IRR_009_NGA-Bauchi_Mbal_Hs_2015-04-25,MK107911,NGA,Bauchi,Mbal,9.595820427,9.617159843
LASV_NGA_2013_IRR_010_NGA-Bauchi_Bauchi_Hs_2013-03-10,MK107974,NGA,Bauchi,Bauchi,10.314159,9.846282
LASV_NGA_2016_IRR_031_NGA-Bauchi_Mbal_Hs_2016-03-11,MK107954,NGA,Bauchi,Mbal,9.595820427,9.617159843
LASV_NGA_2018_IRR_001_NGA-Bauchi_LimanKatagum_Hs_2018-01-02,MK117952,NGA,Bauchi,LimanKatagum,10.093735,9.767931
LASV_NGA_2016_IRR_028_NGA-Bauchi_SabonGari_Hs_2016-02-29,MK107920,NGA,Bauchi,SabonGari,10.675453,9.122348
LASV_NGA_2016_IRR_019_NGA-Bauchi_LimanKatagum_Hs_2016-01-12,MK107919,NGA,Bauchi,LimanKatagum,10.093735,9.767931
